SessionID,SessionDate,SessionDuration,SessionFrequency,RecordID,Timestamp,timeIntervalSince1970,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,MagX,MagY,MagZ,WatchTimestamp,WatchtImeIntervalSince1970,WatchGyroX,WatchGyroY,WatchGyroZ,WatchAccX,WatchAccY,WatchAccZ
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.6960,1662465643.6960611,0.4990324461228629,-0.09578964335240607,0.364697807049304,-0.395233154296875,-0.130401611328125,-0.9497222900390625,62.345489501953125,-97.03852844238281,-73.50041198730469,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.6960,1662465643.6960611,0.4990324461228629,-0.09578964335240607,0.364697807049304,-0.395233154296875,-0.130401611328125,-0.9497222900390625,62.345489501953125,-97.03852844238281,-73.50041198730469,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.7130,1662465643.712668,0.4634699245064898,-0.1570439463208826,0.24722763557867186,-0.4210662841796875,-0.119903564453125,-0.9496002197265625,62.08338928222656,-97.1431884765625,-72.82522583007812,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.7130,1662465643.712668,0.4634699245064898,-0.1570439463208826,0.24722763557867186,-0.4210662841796875,-0.119903564453125,-0.9496002197265625,62.08338928222656,-97.1431884765625,-72.82522583007812,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.7290,1662465643.729309,0.36990881435426204,-0.09534542808258085,0.15812039603349262,-0.460784912109375,-0.1146087646484375,-0.933013916015625,62.08338928222656,-97.1431884765625,-72.82522583007812,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.7290,1662465643.729309,0.36990881435426204,-0.09534542808258085,0.15812039603349262,-0.460784912109375,-0.1146087646484375,-0.933013916015625,62.08338928222656,-97.1431884765625,-72.82522583007812,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.7460,1662465643.745873,0.22218193710702167,0.02993206643972758,0.05422728611619345,-0.48541259765625,-0.1102294921875,-0.908111572265625,62.164764404296875,-97.34442138671875,-72.26289367675781,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.7460,1662465643.745873,0.22218193710702167,0.02993206643972758,0.05422728611619345,-0.48541259765625,-0.1102294921875,-0.908111572265625,62.164764404296875,-97.34442138671875,-72.26289367675781,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.7630,1662465643.762548,0.0746904833001443,0.1467124791880292,0.0219772042636609,-0.49078369140625,-0.0971221923828125,-0.885498046875,62.010498046875,-97.1451416015625,-72.2960205078125,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.7630,1662465643.762548,0.0746904833001443,0.1467124791880292,0.0219772042636609,-0.49078369140625,-0.0971221923828125,-0.885498046875,62.010498046875,-97.1451416015625,-72.2960205078125,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.7790,1662465643.7790399,0.000653539731505445,0.19790456060985934,0.07595149007629681,-0.4818115234375,-0.1194915771484375,-0.8800811767578125,61.92991638183594,-97.10700988769531,-72.40640258789062,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.7790,1662465643.7790399,0.000653539731505445,0.19790456060985934,0.07595149007629681,-0.4818115234375,-0.1194915771484375,-0.8800811767578125,61.92991638183594,-97.10700988769531,-72.40640258789062,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.7960,1662465643.7956429,0.024521055736904586,0.16969262991821393,0.16720603640840695,-0.478057861328125,-0.1227569580078125,-0.888153076171875,61.89424133300781,-97.11341857910156,-72.47903442382812,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.7960,1662465643.7956429,0.024521055736904586,0.16969262991821393,0.16720603640840695,-0.478057861328125,-0.1227569580078125,-0.888153076171875,61.89424133300781,-97.11341857910156,-72.47903442382812,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.8130,1662465643.812612,0.1281635621956273,0.03334384211222809,0.2552469462531185,-0.472076416015625,-0.1450042724609375,-0.8975372314453125,61.865997314453125,-97.36965942382812,-72.13554382324219,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.8130,1662465643.812612,0.1281635621956273,0.03334384211222809,0.2552469462531185,-0.472076416015625,-0.1450042724609375,-0.8975372314453125,61.865997314453125,-97.36965942382812,-72.13554382324219,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.8290,1662465643.829176,0.2637144669390254,-0.13119450583224648,0.3065162593465609,-0.465850830078125,-0.1822509765625,-0.9111328125,61.865997314453125,-97.36965942382812,-72.13554382324219,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.8290,1662465643.829176,0.2637144669390254,-0.13119450583224648,0.3065162593465609,-0.465850830078125,-0.1822509765625,-0.9111328125,61.865997314453125,-97.36965942382812,-72.13554382324219,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.8460,1662465643.846122,0.3890923626344298,-0.27565102126086954,0.3417730500697929,-0.44952392578125,-0.2275543212890625,-0.892333984375,61.493316650390625,-97.30708312988281,-71.88481140136719,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.8460,1662465643.846122,0.3890923626344298,-0.27565102126086954,0.3417730500697929,-0.44952392578125,-0.2275543212890625,-0.892333984375,61.493316650390625,-97.30708312988281,-71.88481140136719,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.8630,1662465643.86269,0.46853312637094846,-0.3609781699547903,0.3705253361466154,-0.423858642578125,-0.265045166015625,-0.8704376220703125,61.08717346191406,-97.53825378417969,-70.88876342773438,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.8630,1662465643.86269,0.46853312637094846,-0.3609781699547903,0.3705253361466154,-0.423858642578125,-0.265045166015625,-0.8704376220703125,61.08717346191406,-97.53825378417969,-70.88876342773438,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.8790,1662465643.879385,0.4722066907786038,-0.39054351911241403,0.37410169517448283,-0.394561767578125,-0.286468505859375,-0.8352508544921875,60.69386291503906,-97.5206298828125,-70.56858825683594,,,,,,,,,,
