SessionID,SessionDate,SessionDuration,SessionFrequency,RecordID,Timestamp,timeIntervalSince1970,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,MagX,MagY,MagZ,WatchTimestamp,WatchtImeIntervalSince1970,WatchGyroX,WatchGyroY,WatchGyroZ,WatchAccX,WatchAccY,WatchAccZ
1,39:45.9,00:05,60,0,39:49.7,1661938790,-1.25975003,-0.086360722,2.316563191,-1.277923584,0.140350342,-0.13092041,33.52815247,-37.04914856,-39.38615417,,,,,,,,
1,39:45.9,00:05,60,0,39:49.7,1661938790,-1.089232087,-0.181681116,2.226958207,-1.274810791,0.14201355,-0.11529541,35.32931519,-35.90666199,-38.07569885,,,,,,,,
1,39:45.9,00:05,60,0,39:49.7,1661938790,-0.950565816,-0.30116224,2.13373372,-1.255783081,0.122787476,-0.106140137,37.31074524,-35.33114624,-37.18902588,,,,,,,,
1,39:45.9,00:05,60,0,39:49.8,1661938790,-0.898490098,-0.412970531,2.021953659,-1.223205566,0.089492798,-0.120529175,38.70480347,-34.30903625,-36.79934692,,,,,,,,
1,39:45.9,00:05,60,0,39:49.8,1661938790,-0.926695371,-0.417715485,1.896234612,-1.205612183,0.059524536,-0.130889893,40.4942627,-34.06568909,-35.49761963,,,,,,,,
1,39:45.9,00:05,60,0,39:49.8,1661938790,-0.995175096,-0.327543248,1.748702678,-1.20022583,0.035217285,-0.129699707,40.4942627,-34.06568909,-35.49761963,,,,,,,,
1,39:45.9,00:05,60,0,39:49.8,1661938790,-1.093392477,-0.175470358,1.562545321,-1.207595825,0.019470215,-0.129669189,42.02095032,-33.68267822,-34.32588196,,,,,,,,
1,39:45.9,00:05,60,0,39:49.8,1661938790,-1.221108895,-0.04789855,1.378167755,-1.203353882,0.0105896,-0.127258301,43.30262756,-33.23034668,-33.23402405,,,,,,,,
1,39:45.9,00:05,60,0,39:49.8,1661938790,-1.304887415,0.028978122,1.195546809,-1.173904419,-0.007385254,-0.147094727,44.28312683,-33.35583496,-31.97232056,,,,,,,,
1,39:45.9,00:05,60,0,39:49.9,1661938790,-1.316397331,0.095761946,0.988267389,-1.150756836,-0.031646729,-0.163574219,45.29679871,-33.22392273,-30.96604919,,,,,,,,
1,39:45.9,00:05,60,0,39:49.9,1661938790,-1.268615427,0.151609766,0.745494689,-1.135238647,-0.039916992,-0.169128418,45.88130188,-33.35090637,-30.1566925,,,,,,,,
1,39:45.9,00:05,60,0,39:49.9,1661938790,-1.170920825,0.195602524,0.528840942,-1.119522095,-0.043807983,-0.171859741,45.88130188,-33.35090637,-30.1566925,,,,,,,,
1,39:45.9,00:05,60,0,39:49.9,1661938790,-1.037185131,0.215080884,0.355489395,-1.095214844,-0.05229187,-0.17024231,46.22666931,-33.23530579,-28.52986145,,,,,,,,
1,39:45.9,00:05,60,0,39:49.9,1661938790,-0.894786973,0.224665867,0.18395439,-1.066696167,-0.061157227,-0.175796509,46.38316345,-33.60116577,-28.22113037,,,,,,,,
1,39:45.9,00:05,60,0,39:49.9,1661938790,-0.760831301,0.261134396,0.003064766,-1.041259766,-0.055770874,-0.178543091,46.33045959,-33.87882996,-26.71783447,,,,,,,,
1,39:45.9,00:05,60,0,39:50.0,1661938790,-0.59738192,0.31656623,-0.158214938,-1.018463135,-0.051208496,-0.174133301,46.22210693,-33.75891113,-26.59588623,,,,,,,,
1,39:45.9,00:05,60,0,39:50.0,1661938790,-0.437247109,0.351980947,-0.287344962,-0.996322632,-0.051345825,-0.167037964,45.74688721,-33.96907043,-27.07377625,,,,,,,,
1,39:45.9,00:05,60,0,39:50.0,1661938790,-0.29513817,0.346409614,-0.414164959,-0.972915649,-0.046524048,-0.168716431,45.74688721,-33.96907043,-27.07377625,,,,,,,,
1,39:45.9,00:05,60,0,39:50.0,1661938790,-0.163565229,0.35975285,-0.530729656,-0.960098267,-0.035980225,-0.164382935,45.33169556,-34.03465271,-26.42012024,,,,,,,,
1,39:45.9,00:05,60,0,39:50.0,1661938790,-0.046650326,0.368896547,-0.617723677,-0.959503174,-0.026000977,-0.156188965,44.67111206,-33.72651672,-27.28387451,,,,,,,,
1,39:45.9,00:05,60,0,39:50.0,1661938790,0.044654287,0.347307631,-0.696371884,-0.961364746,-0.017181396,-0.162963867,44.01472473,-33.95120239,-27.14312744,,,,,,,,
1,39:45.9,00:05,60,0,39:50.1,1661938790,0.112690596,0.35432799,-0.761986048,-0.972717285,-0.010391235,-0.177856445,43.34188843,-33.9911499,-27.12956238,,,,,,,,
1,39:45.9,00:05,60,0,39:50.1,1661938790,0.206523083,0.418495525,-0.836551363,-0.991622925,-0.006271362,-0.183654785,42.46688843,-34.41352844,-27.80079651,,,,,,,,
1,39:45.9,00:05,60,0,39:50.1,1661938790,0.324002841,0.546782658,-0.932498931,-1.021499634,0.008590698,-0.186340332,42.46688843,-34.41352844,-27.80079651,,,,,,,,
1,39:45.9,00:05,60,0,39:50.1,1661938790,0.427904473,0.630584614,-1.018075618,-1.041503906,0.021987915,-0.193572998,41.50830078,-34.54937744,-27.72297668,,,,,,,,
